MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
1.00000,0.40003,0.59492,-0.11604,-0.38620,-0.07551,-0.10891,-0.07516,-0.09546,-0.07081,-0.09200,-0.06599,-0.07657,-0.09236,-0.02228,0.05843,-0.38868,-0.44281,-0.41172,-0.24797,0.17741,-0.37002
0.00000,1.00000,0.08305,0.10360,-0.05372,0.09621,0.09264,0.09722,0.00418,0.04521,-0.00197,-0.00735,0.00552,-0.00236,0.16374,-0.02534,-0.11447,-0.34206,-0.07501,-0.00191,0.17595,-0.06773
0.00000,0.00000,1.00000,-0.13786,-0.25094,-0.09977,-0.09228,-0.09953,-0.14157,-0.11589,-0.14806,-0.09577,-0.10581,-0.14829,-0.10921,0.21041,-0.40573,-0.04220,-0.39249,-0.24222,-0.10192,-0.33729
0.00000,0.00000,0.00000,1.00000,0.74993,0.99018,0.97439,0.99040,0.76910,0.80441,0.74654,0.72616,0.75829,0.74644,0.90763,-0.72784,0.36171,0.09624,0.69308,0.38444,0.43443,0.72129
0.00000,0.00000,0.00000,0.00000,1.00000,0.73400,0.72768,0.73385,0.55180,0.56991,0.53101,0.50567,0.53192,0.53104,0.60855,-0.52376,0.42627,0.19904,0.64763,0.30651,0.18684,0.66327
0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.95795,0.99995,0.76060,0.79152,0.74586,0.71170,0.73790,0.74577,0.91936,-0.72210,0.34293,0.06263,0.64880,0.32345,0.42667,0.67145
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.95822,0.79741,0.83886,0.76327,0.78631,0.80446,0.76323,0.84557,-0.73175,0.33751,0.19163,0.71594,0.40641,0.41339,0.76942
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.76011,0.79127,0.74516,0.71133,0.73771,0.74507,0.91961,-0.72162,0.34314,0.06295,0.64882,0.32417,0.42689,0.67170
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.98720,0.98764,0.98300,0.95040,0.98765,0.72348,-0.83584,0.45198,0.15450,0.65371,0.45107,0.50863,0.69286
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.96317,0.97392,0.96133,0.96315,0.74581,-0.82832,0.41506,0.15990,0.65149,0.45340,0.51382,0.69409
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.96039,0.89664,1.00000,0.71727,-0.82738,0.43882,0.14645,0.60998,0.40123,0.46869,0.64444
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.95044,0.96042,0.66043,-0.81512,0.40622,0.20630,0.64507,0.45608,0.50491,0.70093
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.89667,0.69439,-0.80029,0.45358,0.15561,0.67308,0.50174,0.53725,0.72182
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.71708,-0.82737,0.43900,0.14681,0.61005,0.40137,0.46842,0.64454
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.71422,0.37121,-0.13235,0.54208,0.31846,0.47097,0.55403
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.60063,-0.00693,-0.67359,-0.43139,-0.60174,-0.69345
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.10465,0.59646,0.48304,0.23650,0.55156
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.19017,0.16360,-0.16489,0.26512
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.65183,0.49688,0.96232
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.52442,0.64420
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.48254
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
