Alcohol,malic_acid,ash,alcalinity_of_ash,magnesium, total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,Hue,OD280_OD315_of_diluted_wines,Proline
1.00000,0.09996,0.21096,-0.30335,0.25874,0.28454,0.23013,-0.15145,0.12756,0.54788,-0.07537,0.05742,0.64107
0.00000,1.00000,0.16496,0.28615,-0.04905,-0.33351,-0.40932,0.29150,-0.21797,0.25005,-0.56085,-0.36672,-0.18951
0.00000,0.00000,1.00000,0.44670,0.28711,0.12818,0.11408,0.18735,0.00808,0.25864,-0.07518,0.00150,0.22298
0.00000,0.00000,0.00000,1.00000,-0.07171,-0.31758,-0.34692,0.35940,-0.19078,0.02048,-0.27272,-0.26819,-0.43686
0.00000,0.00000,0.00000,0.00000,1.00000,0.20820,0.18710,-0.25209,0.22650,0.19934,0.05204,0.04696,0.38754
0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.86405,-0.44830,0.61053,-0.05640,0.43299,0.69957,0.49584
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.53633,0.65025,-0.17441,0.54321,0.78637,0.49118
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.36327,0.14019,-0.26171,-0.50186,-0.30889
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.02711,0.29440,0.51342,0.32573
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.52262,-0.43574,0.31563
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.56740,0.23488
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.30603
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
